total_spins,total_wins,volitily,total_payout,avg_payout,total_bonus_spins,bonus_spin_prec,freq_Orange,freq_Apple,freq_Grape,freq_Strawberry,freq_Mango,freq_Banana,freq_Cherry,freq_Lemon,freq_Seven,freq_Bonus,freq_Multiplier,freq_Wild,multi_Orange,multi_Apple,multi_Grape,multi_Strawberry,multi_Mango,multi_Banana,multi_Cherry,multi_Lemon,multi_Seven,multi_Bonus
1500,3104,86.0,3223.5299999999866,1.0385083762886556,492,32.800000000000004,0.07696922619757084,0.05957534595610722,0.10836958291782395,0.19793853025069352,0.19340687175232774,0.0964089416894896,0.019272162014768997,0.14968965839387058,0.0007198038112695709,0.07434744690618812,0.008415892981520586,0.014886537128369213,0.95,0.23,0.74,0.64,0.99,0.58,1.02,1.94,12,
1500,1624,63.93333333333333,2082.900000000005,1.2825738916256189,233,15.533333333333331,0.06694853001291691,0.10259094636400747,0.07591754269715144,0.13140536339031536,0.1242401523547195,0.10739858270835147,0.05810260793416267,0.018622006925841143,0.001338006114040897,0.06877273909389862,0.13018545511611243,0.11447806728848225,0.76,0.76,0.71,1.81,0.88,0.59,1.57,0.71,5,
1500,2777,84.2,4306.170000000011,1.550655383507386,1052,70.13333333333334,0.005938912346192657,0.033923956405890285,0.08759768032432723,0.19195889999524182,0.12428210657053959,0.04389156247159373,0.02682614052036889,0.18704472509304268,0.008890700710738532,0.15369176704782544,0.004993858534206408,0.1309596899800328,1.69,1.58,1.97,1.78,0.69,1.56,1.03,0.43,12,
1500,1227,55.800000000000004,1848.509999999984,1.5065281173594003,383,25.533333333333335,0.09992640437989384,0.12127914693791059,0.0697917586853784,0.09467914825126614,0.06444226247002582,0.08947965582582451,0.0642616900429261,0.08135753678504799,0.00013136638831436805,0.12197055985357563,0.1259344347897542,0.0667460355900825,1.6,1.19,0.82,1.33,1.65,0.71,1.59,1.32,6,
1500,1985,69.33333333333334,2716.4600000000114,1.3684937027707866,400,26.666666666666668,0.024640481788022632,0.1406800800877196,0.08121837862351047,0.11845699712187964,0.03344096602949661,0.05615070983759029,0.01851559232895707,0.14375834467483004,0.0038746030247566645,0.10333579728022466,0.15611777537573962,0.11981027382727273,1.36,1.57,0.6,0.74,0.64,1.86,0.68,1.15,12,
1500,1560,64.53333333333333,1100.0899999999958,0.7051858974358948,309,20.599999999999998,0.11295069139609482,0.08350972065094991,0.11425670954346867,0.01731471352001321,0.08485382636712864,0.11247549312335975,0.12842704163043914,0.0537804722325891,0.0011602279195732602,0.10012429664950165,0.1218818935315354,0.0692649134353465,0.66,0.37,1.34,1.85,0.81,0.55,0.22,1.87,10,
1500,3733,88.6,1658.6800000000153,0.44432895794267757,65,4.333333333333334,0.10100254611090777,0.07140349508565699,0.030546408357870963,0.13010078045190082,0.25047841020198447,0.1881538902547681,0.03540222594870258,0.060578165336718164,0.00729936239735036,0.010933271798246474,0.07090950776180346,0.04319193629408965,0.38,1.11,0.44,0.31,0.41,0.95,0.56,1.46,11,
1500,2347,79.26666666666667,4542.030000000031,1.9352492543672903,749,49.93333333333334,0.0032264123466228868,0.03654533555159609,0.1170458851631342,0.17300207336602771,0.10804503521748146,0.061600352315532104,0.15599996491654636,0.12979295988994136,0.002074439751584687,0.13084674020926104,0.002353187168752072,0.07946761410351993,0.73,0.89,1.26,1.57,1.34,1.97,1.72,1.37,11,
1500,2228,77.86666666666666,3185.4399999999723,1.4297307001795208,751,50.06666666666667,0.02829321309714281,0.0865757964686967,0.15663571178464733,0.007696316456294449,0.17525179328272084,0.04963756496472626,0.06434327550573181,0.07538762800267988,0.00036758092104996655,0.14098188980207968,0.0432854330541743,0.17154379666005595,0.56,0.42,1.78,1.09,0.65,0.47,1.6,1.9,10,
1500,1587,65.86666666666666,2150.3700000000204,1.3549905482041715,344,22.933333333333334,0.1140978222402136,0.12301882599637667,0.11086809839659814,0.0752593294107223,0.06647183583491782,0.10169526033127915,0.10566683959585507,0.11663870703169633,0.005711845211485657,0.09802143276776937,0.07389780647792167,0.00865219670516418,1.99,1.43,0.83,0.22,1.53,0.36,1.28,0.96,12,
1500,2394,77.93333333333334,2407.8299999999977,1.0057769423558887,1362,90.8,0.04847072981925807,0.16961201287407374,0.023213881444852626,0.08412231275643112,0.020175168444190556,0.055401619161917645,0.18860664875038216,0.09645070697106092,0.005111956058729728,0.19292895391037362,0.014414769017883236,0.10149124079084663,1.34,0.53,1.36,1.96,0.97,0.84,1.03,1.58,10,
1500,1532,64.8,2216.789999999999,1.4469908616187983,564,37.6,0.15258868921248206,0.08101276710414926,0.07943983042414354,0.012714089304912853,0.08950409017256307,0.04217490854038535,0.1007015926314067,0.10348920582803402,0.004977881310478472,0.13925556291699376,0.0667958276431233,0.12734555491132765,1.58,1.42,0.67,1.63,1.32,1.09,0.89,0.36,6,
1500,2142,74.33333333333333,3205.689999999988,1.496587301587296,199,13.266666666666666,0.0780834539758182,0.1603808726163279,0.14134970526427668,0.08944333983711097,0.14796771171499415,0.06813044090675087,0.01046537566105425,0.09927067555734594,0.002137528949463646,0.04741988916771307,0.08752668460512465,0.06782432174401959,1.61,1.94,0.22,1.83,0.85,0.98,0.47,0.72,11,
1500,1356,61.266666666666666,1951.0500000000084,1.4388274336283247,841,56.06666666666666,0.07284077564103833,0.12246683488400317,0.061373458950245034,0.13377810636555718,0.08229275785033294,0.08460021628170056,0.023612385631679174,0.0868332049802816,0.0007104217454846526,0.17536499956054905,0.1219709218989457,0.03415591621018263,0.95,1.8,1.66,0.44,1.14,0.73,1.79,1.8,12,
1500,1809,69.39999999999999,2893.0899999999883,1.5992758430071798,351,23.400000000000002,0.07072944470449079,0.07727897722636584,0.014204876613744814,0.08699690894091036,0.14983438092902415,0.09025314497904384,0.02324376171726408,0.12999530229926717,0.003928329585272676,0.09055420874918316,0.10907176841527251,0.15390889584016063,0.37,1.02,0.46,0.34,1.71,0.47,1.87,1.34,7,
1500,3275,86.46666666666667,1759.1300000000056,0.5371389312977116,766,51.06666666666667,0.04277429993799953,0.04257876924946419,0.01763306001413991,0.013221994114097363,0.0341760452580152,0.1993914883912349,0.026063188755564418,0.1823037419078035,0.0035230928171281223,0.12011021214249247,0.09491367302361704,0.22331043438844325,1.93,0.65,1.33,1.56,1.0,0.61,1.94,0.39,5,
1500,2520,81.2,3468.690000000027,1.3764642857142964,208,13.866666666666665,0.06662759676782991,0.09948586789159146,0.08270371822738469,0.18372813636886176,0.14519782617913776,0.06014690627035989,0.11121489328185075,0.15400631412395543,0.008006192862361067,0.04053274243971777,0.03131338858571311,0.017036417001236644,1.63,0.56,1.38,1.03,1.1,1.19,1.24,1.65,9,
